,appid,name,short_description,developer,publisher,genre,tags,type,categories,owners,positive,negative,price,initialprice,discount,ccu,languages,platforms,release_date,required_age,website,header_image
10,10,Counter-Strike,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,Valve,Valve,Action,"Action, FPS, Multiplayer, Shooter",game,"['Multi-player', 'Valve Anti-Cheat enabled', 'Online PvP', 'Shared/Split Screen PvP', 'PvP']","10,000,000 .. 20,000,000",201215,5199,999,999,0,13990,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean","{'windows': True, 'mac': True, 'linux': True}",2000/11/1,0,,https://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1666823513
1007040,1007040,EARTH DEFENSE FORCE 5,"Stand and fight for humanity. This arcade shooter takes place in the year 2022, as the Earth Defense Force fends off an all-out attack by unknown life forms. Become an EDF soldier, battle against endless hordes of immense enemies, and restore peace to the earth.",SANDLOT,D3PUBLISHER,Action,"Action, Online Co-Op, Mechs, Third-Person Shooter",game,"['Multi-player', 'Single-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Shared/Split Screen', 'Full controller support', 'Steam Trading Cards', 'Online PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'PvP']","500,000 .. 1,000,000",6686,372,5999,5999,0,659,"English, Japanese, Traditional Chinese, Korean","{'windows': True, 'mac': False, 'linux': False}",2019/07/11,15,https://www.d3p.co.jp/edf5/,https://cdn.akamai.steamstatic.com/steam/apps/1007040/header.jpg?t=1652254042
10090,10090,Call of Duty: World at War,"Call of Duty is back, redefining war like you've never experienced before. Building on the Call of Duty 4®: Modern Warfare engine, Call of Duty: World at War immerses players into the most gritty and chaotic WWII combat ever experienced.",Treyarch,Activision,Action,"Zombies, World War II, FPS, Multiplayer",game,"['Multi-player', 'Single-player', 'Co-op']","2,000,000 .. 5,000,000",39281,3493,1999,1999,0,522,"English, French, Italian, German, Spanish - Spain","{'windows': True, 'mac': False, 'linux': False}",2008/11/18,0,http://www.callofduty.com,https://cdn.akamai.steamstatic.com/steam/apps/10090/header.jpg?t=1654830025
1009290,1009290,SWORD ART ONLINE Alicization Lycoris,"Enjoy seamless, action-packed real-time battles using a combination of sword skills, sacred arts, and your favorite SAO characters!","AQURIA Co., Ltd.",BANDAI NAMCO Entertainment,"Action, Adventure, RPG","RPG, Action, Adventure, Anime",game,"['Multi-player', 'Single-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Full controller support', 'Online Co-op', 'Remote Play on Tablet']","100,000 .. 200,000",3664,2256,5999,5999,0,239,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2020/07/9,0,https://www.bandainamcoent.com/games/sword-art-online-alicization-lycoris,https://cdn.akamai.steamstatic.com/steam/apps/1009290/header.jpg?t=1666771445
1009560,1009560,The Tenants,Become a landlord and deal with problematic tenants as you build your rental property empire. Decide how to react to annoyed neighbors or police interventions. Will you design your apartment for a group of gamer friends or an aspiring musician looking for a new home?,Ancient Forge,Frozen District,"Casual, Indie, Simulation","Management, City Builder, Design & Illustration, Life Sim",game,"['Single-player', 'Captions available', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']","200,000 .. 500,000",4134,867,2499,2499,0,367,"English, Polish, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese, Russian, Turkish, Hungarian, Korean, Romanian, Traditional Chinese, Danish, Dutch, Portuguese - Brazil, Czech","{'windows': True, 'mac': False, 'linux': False}",2022/10/20,0,https://www.playthetenants.com/,https://cdn.akamai.steamstatic.com/steam/apps/1009560/header.jpg?t=1668088721
1009850,1009850,OVR Advanced Settings,"A Dashboard Application for VR, that allows you to access many settings, and provide a litany of utility features, such as timers, audio settings, push-to-talk and more.",OVRAS Team,OVRAS Team,Utilities,"VR, Utilities, Free to Play, Software",game,[],"500,000 .. 1,000,000",2115,86,0,0,0,2605,English,"{'windows': True, 'mac': False, 'linux': True}",2020/04/14,0,,https://cdn.akamai.steamstatic.com/steam/apps/1009850/header.jpg?t=1659041918
1012790,1012790,Into the Radius VR,"Into the Radius is a single-player survival shooter in VR. Explore the Pechorsk zone filled with surreal landscapes and dangerous anomalies. Defend yourself with realistic firearms, recover strange artifacts, scavenge for loot, and uncover the mysteries of this unforgiving dystopian environment.",CM Games,CM Games,Indie,"VR, Survival, Atmospheric, Open World",game,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","200,000 .. 500,000",5487,408,2999,2999,0,217,English,"{'windows': True, 'mac': False, 'linux': False}",2020/07/20,0,,https://cdn.akamai.steamstatic.com/steam/apps/1012790/header.jpg?t=1668072037
1013320,1013320,Firestone Idle RPG,"Firestone: Online Idle RPG is a multiplayer fantasy game with idle rpg mechanics. Collect heroes🧙‍♂️, upgrade their gear &amp; skills, and sent them in AFK battles or go on an incremental clicker frenzy to beat monstrous bosses! Chat with guild friends or engage in PVP⚔️- the choice is in your hands!",Holyday Studios,Holyday Studios,"Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Early Access","Idler, Free to Play, RPG, Clicker",game,"['Multi-player', 'Single-player', 'Co-op', 'Stats', 'MMO', 'Steam Achievements', 'Steam Cloud', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases', 'Online PvP', 'Online Co-op', 'Remote Play on Phone', 'Remote Play on Tablet', 'PvP']","200,000 .. 500,000",3479,879,0,0,0,1379,"English, German, Spanish - Spain, Greek, Portuguese - Brazil, Russian, Simplified Chinese, French, Japanese, Korean, Polish, Traditional Chinese, Turkish, Danish, Finnish, Swedish, Portuguese, Spanish - Latin America","{'windows': True, 'mac': True, 'linux': True}",2019/09/26,0,http://holydaygames.com/firestone-idle-rpg/,https://cdn.akamai.steamstatic.com/steam/apps/1013320/header.jpg?t=1662994546
1016120,1016120,PGA TOUR 2K21,"Play against the pros. Play with your crew. In PGA TOUR 2K21, you can play by the rules or create your own featuring a new PGA TOUR Career Mode, licensed courses and more! Powered by The Golf Club.",HB Studios Multimedia Ltd.,2K,"Simulation, Sports","Sports, Simulation, Local Multiplayer, Golf",game,"['Multi-player', 'Single-player', 'Co-op', 'Includes level editor', 'Steam Achievements', 'Shared/Split Screen', 'Full controller support', 'Steam Turn Notifications', 'In-App Purchases', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'PvP']","200,000 .. 500,000",5809,1120,5999,5999,0,546,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2020/08/20,0,https://pgatour.2k.com/,https://cdn.akamai.steamstatic.com/steam/apps/1016120/header.jpg?t=1644357004
1016920,1016920,Unrailed!,"Unrailed! is a co-op multiplayer game where you have to work together with your friends to build a train track across endless procedurally generated worlds. Master random encounters with its inhabitants, upgrade your train and keep it from derailing!",Indoor Astronaut,"Daedalic Entertainment, bilibili(China)","Action, Casual, Indie","Open World Survival Craft, Multiplayer, Co-op, Online Co-Op",game,"['Multi-player', 'Single-player', 'Co-op', 'Steam Achievements', 'Shared/Split Screen', 'Steam Leaderboards', 'Cross-Platform Multiplayer', 'Full controller support', 'Steam Trading Cards', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'PvP']","500,000 .. 1,000,000",13115,939,1999,1999,0,258,"English, French, German, Simplified Chinese, Korean, Portuguese - Brazil, Russian, Traditional Chinese, Italian, Spanish - Spain, Japanese, Polish, Turkish, Spanish - Latin America, Czech","{'windows': True, 'mac': True, 'linux': True}",2020/09/23,0,https://unrailed-game.com,https://cdn.akamai.steamstatic.com/steam/apps/1016920/header.jpg?t=1667079473
1017100,1017100,Territory Idle,"Strategic idle game. Develop the kingdom, then abdicate and get gold! For gold, you can buy new tiles and expand the territory.",Aleksandr Golovkin,Aleksandr Golovkin,"Free to Play, Indie, Strategy","Idler, Free to Play, Clicker, Strategy",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'In-App Purchases', 'Remote Play on Tablet']","100,000 .. 200,000",1150,257,0,0,0,223,"English, Russian","{'windows': True, 'mac': False, 'linux': False}",2019/09/10,0,,https://cdn.akamai.steamstatic.com/steam/apps/1017100/header.jpg?t=1593396731
1017180,1017180,The Long Drive,Random generated open world semi-post apocalyptic survival car driving game.,Genesz,Genesz,"Action, Adventure, Casual, Indie, Simulation, Early Access","Automobile Sim, Open World, Driving, Survival",game,"['Single-player', 'Remote Play Together']","500,000 .. 1,000,000",13505,1209,1199,1199,0,678,English,"{'windows': True, 'mac': False, 'linux': False}",2019/09/25,0,,https://cdn.akamai.steamstatic.com/steam/apps/1017180/header.jpg?t=1666983789
1017900,1017900,Age of Empires: Definitive Edition,"Age of Empires, the pivotal real-time strategy game that launched a 20-year legacy returns with modernized gameplay, all-new 4K visuals, 8-person multiplayer battles and a host of other new features. Welcome back to history.","Forgotten Empires, Tantalus",Xbox Game Studios,Strategy,"Strategy, RTS, Multiplayer, City Builder",game,"['Multi-player', 'Single-player', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Online PvP', 'LAN PvP', 'PvP']","500,000 .. 1,000,000",8441,1608,1999,1999,0,758,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Vietnamese","{'windows': True, 'mac': False, 'linux': False}",2019/08/19,0,https://www.ageofempires.com,https://cdn.akamai.steamstatic.com/steam/apps/1017900/header.jpg?t=1667261669
10180,10180,Call of Duty: Modern Warfare 2 (2009),"The most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse.",Infinity Ward,Activision,Action,"Action, FPS, Multiplayer, Shooter",game,"['Multi-player', 'Single-player', 'Valve Anti-Cheat enabled', 'Co-op', 'Steam Achievements', 'Steam Cloud']","5,000,000 .. 10,000,000",45374,3308,1999,1999,0,730,"English, French, German, Italian, Spanish - Spain","{'windows': True, 'mac': True, 'linux': False}",2009/11/11,0,https://www.callofduty.com/,https://cdn.akamai.steamstatic.com/steam/apps/10180/header.jpg?t=1654809646
1022450,1022450,War Selection,"War Selection is a compelling RTS game featuring base building, resource extraction and warfare. Evolve from a stone age tribe to a distinct industrial nation with unique game mechanics and battle for supremacy with dozens of players on a unique procedurally generated map.",Glyph Worlds,Glyph Worlds,"Free to Play, Indie, Massively Multiplayer, Strategy, Early Access","Strategy, Base-Building, Free to Play, RTS",game,"['Multi-player', 'Single-player', 'In-App Purchases', 'Online PvP', 'PvP']","500,000 .. 1,000,000",13990,2085,0,0,0,902,"English, Russian, German, Spanish - Spain, French, Simplified Chinese, Danish, Polish, Italian, Czech, Korean, Portuguese - Brazil, Turkish, Dutch, Hungarian, Traditional Chinese, Georgian, Serbian, Croatian","{'windows': True, 'mac': False, 'linux': True}",2019/10/8,0,http://warselect.io/,https://cdn.akamai.steamstatic.com/steam/apps/1022450/header.jpg?t=1667323181
1029550,1029550,Torque Drift,"Build your car, earn sponsors, and compete in online multiplayer drift battles!",Grease Monkey Games,Grease Monkey Games,Racing,"Free to Play, Racing, Multiplayer, Asynchronous Multiplayer",game,"['Multi-player', 'Single-player', 'Partial Controller Support', 'Steam Achievements', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Online PvP', 'PvP']","1,000,000 .. 2,000,000",5707,1891,0,0,0,219,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Turkish","{'windows': True, 'mac': False, 'linux': False}",2021/04/20,0,https://www.TorqueDrift.com/,https://cdn.akamai.steamstatic.com/steam/apps/1029550/header.jpg?t=1633307463
1029690,1029690,Sniper Elite 5,"The award-winning series returns as Karl Fairburne fights to uncover Project Kraken in 1944 France. The genre-defining authentic sniping, with enhanced kill cam, has never looked or felt better as you fight across immersive maps to stop the Nazi war machine in its tracks.",Rebellion,Rebellion,"Action, Adventure","Action, Adventure, Stealth, Singleplayer",game,"['Multi-player', 'Single-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Cross-Platform Multiplayer', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Online PvP', 'Online Co-op', 'PvP']","100,000 .. 200,000",5659,1646,4999,4999,0,1685,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2022/05/25,0,https://sniperelitegames.com/,https://cdn.akamai.steamstatic.com/steam/apps/1029690/header.jpg?t=1666702815
1029780,1029780,Going Medieval,"Stake your claim in this colony building sim and survive a turbulent Medieval age. Construct a multi-storey fortress in a land reclaimed by wilderness, defend against raids, and keep your villagers happy as their lives are shaped by the world around them.",Foxy Voxel,The Irregular Corporation,"Indie, RPG, Simulation, Strategy, Early Access","Early Access, City Builder, Medieval, Colony Sim",game,"['Single-player', 'Steam Achievements', 'Steam Cloud']","500,000 .. 1,000,000",11462,1293,2499,2499,0,1126,"English, Simplified Chinese, French, German, Japanese, Portuguese - Brazil, Russian, Spanish - Spain, Korean, Polish, Turkish","{'windows': True, 'mac': False, 'linux': False}",2021/06/1,0,https://theirregularcorporation.com/promo/going-medieval/,https://cdn.akamai.steamstatic.com/steam/apps/1029780/header_alt_assets_3.jpg?t=1667909578
1030830,1030830,Mafia II: Definitive Edition,"War hero Vito Scaletta becomes entangled with the mob in hopes of paying his father’s debts. Vito works to prove himself, climbing the family ladder with crimes of larger reward and consequence.","Hangar 13, D3T",2K,"Action, Adventure","Action, Adventure, Crime, Open World",game,"['Single-player', 'Steam Achievements', 'Full controller support']","1,000,000 .. 2,000,000",11155,4946,2999,2999,0,387,"English, French, Italian, German, Spanish - Spain, Czech, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America","{'windows': True, 'mac': False, 'linux': False}",2020/05/19,0,https://www.mafiagame.com/,https://cdn.akamai.steamstatic.com/steam/apps/1030830/header.jpg?t=1589933058
1030840,1030840,Mafia: Definitive Edition,"An inadvertent brush with the mob thrusts cabdriver Tommy Angelo into the world of organized crime. Initially uneasy about falling in with the Salieri family, the rewards become too big to ignore.",Hangar 13,2K,"Action, Adventure","Action, Open World, Story Rich, Crime",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Remote Play on Tablet']","1,000,000 .. 2,000,000",41730,6390,3999,3999,0,754,"English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2020/09/24,15,,https://cdn.akamai.steamstatic.com/steam/apps/1030840/header.jpg?t=1632420251
1031140,1031140,The Horus Heresy: Legions,"A card battler based in the rich universe of the Horus Heresy, the origin story of Warhammer 40,000. Play through epic single-player campaigns, take part in draft tournaments based on famous battles, or build your own unstoppable deck and compete in fast and epic duels against players worldwide.",Everguild Ltd.,Everguild Ltd.,"Adventure, Free to Play, Strategy","Deckbuilding, Card Game, Multiplayer, Board Game",game,"['Multi-player', 'Single-player', 'Steam Achievements', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Online PvP', 'PvP']","200,000 .. 500,000",1350,525,0,0,0,241,"English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Russian, Czech, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Japanese","{'windows': True, 'mac': True, 'linux': False}",2019/03/28,0,http://www.horusheresylegions.com,https://cdn.akamai.steamstatic.com/steam/apps/1031140/header.jpg?t=1665146590
1041320,1041320,Lords Mobile,Clash with global players in this epic real-time strategy game!,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,"Massively Multiplayer, RPG, Strategy","Massively Multiplayer, Free to Play, Strategy, Gore",game,"['Multi-player', 'MMO', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Online PvP', 'Remote Play on Phone', 'Remote Play on Tablet', 'PvP']","500,000 .. 1,000,000",3111,1409,0,0,0,2600,"English, French, Italian, German, Spanish - Spain, Ukrainian, Russian, Turkish, Japanese, Polish, Thai, Simplified Chinese, Traditional Chinese, Portuguese - Portugal, Vietnamese, Arabic, Korean, Spanish - Latin America","{'windows': True, 'mac': False, 'linux': False}",2019/06/2,0,http://lordsmobile.igg.com/,https://cdn.akamai.steamstatic.com/steam/apps/1041320/header.jpg?t=1667374754
1041720,1041720,Kingdoms of Amalur: Re-Reckoning,"The hit RPG returns! Remastered with stunning visuals and refined gameplay Re-Reckoning delivers intense, customizable RPG combat inside a sprawling game world.","KAIKO, Big Huge Games, 38 Studios",THQ Nordic,"Action, RPG","RPG, Action, Singleplayer, Fantasy",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Tablet']","500,000 .. 1,000,000",3670,1254,3999,3999,0,482,"English, French, Italian, German, Spanish - Spain, Japanese, Russian, Simplified Chinese","{'windows': True, 'mac': False, 'linux': False}",2020/09/8,0,,https://cdn.akamai.steamstatic.com/steam/apps/1041720/header.jpg?t=1642581230
1042550,1042550,Digimon Story Cyber Sleuth: Complete Edition,"With engaging storylines, classic turn-based battles, and tons of Digimon to collect, Digimon Story Cyber Sleuth: Complete Edition delivers everything fans loved about Digimon Story: Cyber Sleuth and Digimon Story: Cyber Sleuth – Hacker’s Memory.","h.a.n.d., Inc.",BANDAI NAMCO Entertainment Inc.,RPG,"Creature Collector, JRPG, Anime, Turn-Based",game,"['Multi-player', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Full controller support', 'Steam Trading Cards', 'Online PvP', 'PvP']","200,000 .. 500,000",6656,600,4999,4999,0,313,"English, German, Japanese, Korean, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2019/10/17,0,https://www.bandainamcoent.com/games/digimon-story-cyber-sleuth-complete-edition,https://cdn.akamai.steamstatic.com/steam/apps/1042550/header.jpg?t=1612947708
1044720,1044720,Farthest Frontier,"Protect and guide your people as you forge a town from untamed wilderness at the edge of the known world. Harvest raw materials, hunt, fish and farm to survive. Produce crafted items to trade, consume, equip and fight with as you battle for your survival against the elements and outside threats.",Crate Entertainment,Crate Entertainment,"Indie, Simulation, Strategy, Early Access","Early Access, City Builder, Survival, Colony Sim",game,['Single-player'],"200,000 .. 500,000",7374,1279,2999,2999,0,2353,"English, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Japanese","{'windows': True, 'mac': False, 'linux': False}",2022/08/9,0,https://www.farthestfrontier.com,https://cdn.akamai.steamstatic.com/steam/apps/1044720/header.jpg?t=1660235278
1046930,1046930,Dota Underlords,"Hire a crew and destroy your rivals in this new strategy battler set in the world of Dota. Introducing Season One: Explore White Spire and earn rewards on the Battle Pass. Pick from several different game modes, play on your own or with friends, and take advantage of crossplay on PC and mobile.",Valve,Valve,"Casual, Free to Play, Strategy","Free to Play, Strategy, Casual, Auto Battler",game,"['Multi-player', 'Single-player', 'Partial Controller Support', 'Steam Cloud', 'Cross-Platform Multiplayer', 'Online PvP', 'Remote Play on Phone', 'Remote Play on Tablet', 'PvP']","5,000,000 .. 10,000,000",73650,15663,0,0,0,2555,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese","{'windows': True, 'mac': True, 'linux': True}",2019/06/20,0,http://underlords.com/,https://cdn.akamai.steamstatic.com/steam/apps/1046930/header.jpg?t=1649700104
1049590,1049590,Eternal Return: Black Survival,"Eternal Return is the unique multiplayer online survival arena that combines strategy, mechanics, and aesthetic characters. Choose one of the ever-growing cast of test subjects, take on Lumia Island as one of 18 test subjects - either solo or with a team, and prove your strength, ability, and wit.",Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE), Nimble Neuron (Excluding EU,NA,OCE)","Free to Play, Indie, Strategy, Early Access","Free to Play, Anime, MOBA, Multiplayer",game,"['Multi-player', 'Steam Trading Cards', 'In-App Purchases', 'Online PvP', 'PvP']","2,000,000 .. 5,000,000",34773,8937,0,0,0,3468,"English, Japanese, Simplified Chinese, Korean, Traditional Chinese, French, German, Spanish - Spain, Portuguese - Portugal, Spanish - Latin America, Russian, Thai, Vietnamese, Portuguese - Brazil","{'windows': True, 'mac': False, 'linux': False}",2020/10/14,0,https://playeternalreturn.com/,https://cdn.akamai.steamstatic.com/steam/apps/1049590/header.jpg?t=1667198505
1049800,1049800,BLOCKADE,"BLOCKADE Classic! First Person Shooter in an editable procedural cubic world. A large arsenal of weapons, 4 teams at the same time and up to 32 players on one map. A large number of game modes!",Novalink,Novalink,"Action, Free to Play, Indie, Massively Multiplayer","Free to Play, Action, FPS, Shooter",game,"['Multi-player', 'In-App Purchases', 'Online PvP', 'PvP']","500,000 .. 1,000,000",7514,2504,0,0,0,261,"English, Russian","{'windows': True, 'mac': False, 'linux': False}",2019/05/21,0,,https://cdn.akamai.steamstatic.com/steam/apps/1049800/header_alt_assets_1.jpg?t=1667004305
10500,10500,Total War: EMPIRE – Definitive Edition,"Command the seas, control the land, forge a new nation, and conquer the globe.","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Strategy,"Strategy, Historical, Military, Grand Strategy",game,"['Multi-player', 'Single-player', 'Co-op', 'Stats', 'Steam Achievements', 'Steam Trading Cards', 'Online PvP', 'Online Co-op', 'LAN PvP', 'LAN Co-op', 'PvP']","2,000,000 .. 5,000,000",26493,2651,2499,2499,0,2864,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Czech","{'windows': True, 'mac': True, 'linux': True}",2009/03/4,0,http://www.totalwar.com,https://cdn.akamai.steamstatic.com/steam/apps/10500/header.jpg?t=1603130998
1054490,1054490,Wingspan,"Wingspan is a relaxing, award-winning strategy card game about birds for 1 to 5 players. Each bird you play extends a chain of powerful combinations in one of your three habitats. Your goal is to discover and attract the best birds to your network of wildlife preserves.",Monster Couch,"Monster Couch, Stonemaier Games, indienova","Indie, Strategy","Building, Board Game, Card Game, Strategy",game,"['Multi-player', 'Single-player', 'Co-op', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards', 'Steam Turn Notifications', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Remote Play Together', 'PvP']","200,000 .. 500,000",5611,341,999,1999,50,727,"English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese","{'windows': True, 'mac': True, 'linux': False}",2020/09/17,0,https://www.monstercouch.com/wingspan/,https://cdn.akamai.steamstatic.com/steam/apps/1054490/header.jpg?t=1666873907
105450,105450,Age of Empires III (2007),Microsoft Studios brings you three epic Age of Empires III games in one monumental collection for the first time.,Ensemble Studios,Xbox Game Studios,"Simulation, Strategy","Strategy, RTS, Base-Building, Multiplayer",game,"['Multi-player', 'Single-player', 'Steam Trading Cards']","2,000,000 .. 5,000,000",27889,2836,3999,3999,0,955,"English, French, German, Italian, Spanish - Spain","{'windows': True, 'mac': False, 'linux': False}",2012/01/5,0,https://www.ageofempires.com/games/aoeiii/,https://cdn.akamai.steamstatic.com/steam/apps/105450/header.jpg?t=1667261661
105600,105600,Terraria,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",Re-Logic,Re-Logic,"Action, Adventure, Indie, RPG","Open World Survival Craft, Sandbox, Survival, 2D",game,"['Multi-player', 'Single-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Steam Trading Cards', 'Online PvP', 'Online Co-op', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'PvP']","20,000,000 .. 50,000,000",1014711,22380,999,999,0,58984,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese","{'windows': True, 'mac': True, 'linux': True}",2011/05/16,0,http://www.terraria.org/,https://cdn.akamai.steamstatic.com/steam/apps/105600/header.jpg?t=1666290860
1056600,1056600,Home Sweet Home : Survive,"Home Sweet Home is back with its soul-stirring sequel that will haunt you to the ground ! Immerse yourself in a world of Thai myths, let's fight together to get out of this horrifying world. The 4vs1 game that will give you the experience of hunting and being hunted in one game.","YGGDRAZIL GROUP PUBLIC CO.,LTD",Shift Now,"Action, Indie, Strategy, Early Access","Survival Horror, Action, Multiplayer, Horror",game,"['Multi-player', 'Co-op', 'In-App Purchases', 'Online PvP', 'Online Co-op', 'PvP']","500,000 .. 1,000,000",4539,3655,699,699,0,215,"English, Thai, Korean, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2021/03/25,0,https://www.homesweethomegame.com/,https://cdn.akamai.steamstatic.com/steam/apps/1056600/header.jpg?t=1656393111
1056640,1056640,Phantasy Star Online 2,"Phantasy Star Online 2 New Genesis, the latest chapter in the Phantasy Star Online 2 series, is here at last! It's time to jump into adventures beyond imagination!",SEGA,SEGA,"Action, Free to Play, Massively Multiplayer, RPG","Free to Play, Character Customization, MMORPG, Anime",game,"['Multi-player', 'Co-op', 'Partial Controller Support', 'Steam Achievements', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Online Co-op', 'Remote Play on Tablet']","2,000,000 .. 5,000,000",14721,5614,0,0,0,2775,"English, Japanese","{'windows': True, 'mac': False, 'linux': False}",2020/08/5,15,https://pso2.com/,https://cdn.akamai.steamstatic.com/steam/apps/1056640/header.jpg?t=1662461737
1057090,1057090,Ori and the Will of the Wisps,"Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.",Moon Studios GmbH,Xbox Game Studios,Action,"Beautiful, Metroidvania, Great Soundtrack, Platformer",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","2,000,000 .. 5,000,000",90608,3304,2999,2999,0,1819,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish","{'windows': True, 'mac': False, 'linux': False}",2020/03/10,0,https://www.orithegame.com,https://cdn.akamai.steamstatic.com/steam/apps/1057090/header.jpg?t=1667504225
