"user","appid","rating"
"smaile2003","570","0.94014770259846"
"smaile2003","431960","0.57206162875122"
"smaile2003","730","0.17074631085509"
"smaile2003","440","0.14381409034445"
"smaile2003","4000","0.12052063122938"
"smaile2003","227300","0.10899667318519"
"smaile2003","304930","0.10541707472662"
"smaile2003","705210","0.08934313541452"
"smaile2003","588650","0.081982121522062"
"smaile2003","286160","0.068037343559948"
"smaile2003","620","0.05528453510665"
"smaile2003","361420","0.054337116736103"
"smaile2003","1604030","0.053650147054148"
"smaile2003","1468260","0.049776950560693"
"smaile2003","393380","0.049776950560693"
"smaile2003","322330","0.049627694001126"
"smaile2003","219740","0.034666704709711"
"smaile2003","317400","0.031763218935607"
"smaile2003","48000","0.024054833502579"
"smaile2003","438100","0.023744435549926"
"etoneol9","570","0.96471079074023"
"etoneol9","730","0.5"
"etoneol9","359550","0.31937479982036"
"etoneol9","105600","0.14339105004819"
"etoneol9","238960","0.13885257212757"
"etoneol9","304390","0.12457640240746"
"etoneol9","1407200","0.12082888312638"
"etoneol9","381210","0.11193918732656"
"etoneol9","1085660","0.10363554957914"
"etoneol9","645630","0.093118686622672"
"etoneol9","578080","0.079308414481074"
"etoneol9","599140","0.071466098755743"
"etoneol9","466560","0.062911262682802"
"etoneol9","217490","0.061725394331081"
"etoneol9","304930","0.058163896214352"
"etoneol9","1284410","0.056152680817835"
"etoneol9","526870","0.053762098788184"
"etoneol9","230410","0.050777311995802"
"etoneol9","227300","0.048629648078844"
"etoneol9","108600","0.044944073942689"
"den161azov","578080","0.74324799962191"
"den161azov","381210","0.5"
"den161azov","730","0.36582421466567"
"den161azov","271590","0.34486463065093"
"den161azov","282800","0.31437988136775"
"den161azov","250900","0.29464235819763"
"den161azov","230410","0.24159124784007"
"den161azov","232090","0.19834990754772"
"den161azov","397540","0.18638728434852"
"den161azov","1293830","0.157477571191"
"den161azov","292030","0.15567116167781"
"den161azov","72850","0.14618890462902"
"den161azov","113200","0.13648323271987"
"den161azov","1328660","0.13065040256066"
"den161azov","611500","0.1258526749922"
"den161azov","263280","0.12501838308088"
"den161azov","306130","0.12227340793501"
"den161azov","393530","0.10054158130455"
"den161azov","363970","0.096376247273792"
"den161azov","617290","0.090378895962435"
"nikitalyan","570","0.81790457617282"
"nikitalyan","504230","0.57709311582651"
"nikitalyan","435150","0.2028190299939"
"nikitalyan","286160","0.18295472931647"
"nikitalyan","381210","0.16837766159629"
"nikitalyan","730","0.15066032367882"
"nikitalyan","1086940","0.1445782942087"
"nikitalyan","311690","0.13827464917311"
"nikitalyan","310060","0.13498908702777"
"nikitalyan","262060","0.11996037113308"
"nikitalyan","239820","0.11964371319984"
"nikitalyan","250900","0.11239562684887"
"nikitalyan","1158310","0.1075665443191"
"nikitalyan","391540","0.10662192410119"
"nikitalyan","763890","0.10355345556198"
"nikitalyan","1145360","0.10089383032411"
"nikitalyan","646570","0.10058000738559"
"nikitalyan","560130","0.099632607866746"
"nikitalyan","705210","0.09841947736878"
"nikitalyan","367520","0.096800092802724"
"SonDVan","570","0.59875425068269"
"SonDVan","1627720","0.5327326835354"
"SonDVan","1245620","0.083366660002665"
"SonDVan","363970","0.080511756018254"
"SonDVan","730","0.075474688283083"
"SonDVan","292030","0.068686659133031"
"SonDVan","374320","0.068582588377601"
"SonDVan","335300","0.067002132162236"
"SonDVan","271590","0.06377975496078"
"SonDVan","236430","0.061003512779418"
"SonDVan","211420","0.058094750193111"
"SonDVan","814380","0.05707138387268"
"SonDVan","570940","0.051478150704935"
"SonDVan","1086940","0.051095149336452"
"SonDVan","578080","0.045942510659674"
"SonDVan","346110","0.037749172176354"
"SonDVan","945360","0.033220045583524"
"SonDVan","1046930","0.033166247903554"
"SonDVan","1240440","0.032623392133341"
"SonDVan","275850","0.032403703492039"
"2rage","1681430","0.53366312190665"
"2rage","570","0.5"
"2rage","567640","0.22385661432918"
"2rage","231430","0.21678726892325"
"2rage","289070","0.18961477612432"
"2rage","2144740","0.16183916017007"
"2rage","228200","0.16020336376708"
"2rage","8930","0.1527241882978"
"2rage","359550","0.13507472913845"
"2rage","2131630","0.12310335788613"
"2rage","1454400","0.12073907220537"
"2rage","730","0.1100554608158"
"2rage","502500","0.10271971471146"
"2rage","1669000","0.099741134580391"
"2rage","40100","0.099512501306459"
"2rage","9450","0.098967380433496"
"2rage","204880","0.095988037005366"
"2rage","286160","0.094161237584192"
"2rage","271590","0.084030837928277"
"2rage","2357570","0.0816942814917"
"cause0011","730","1"
"cause0011","629520","0.28087068760644"
"cause0011","252490","0.26390983971072"
"cause0011","10","0.25465541004482"
"cause0011","578080","0.13192373197399"
"cause0011","359550","0.1016803806225"
"cause0011","227300","0.092887183263728"
"cause0011","895400","0.064040446453201"
"cause0011","431960","0.063591484357394"
"cause0011","1172470","0.061459728945331"
"cause0011","242760","0.053450060541034"
"cause0011","218620","0.046925793807106"
"cause0011","412020","0.04376666115531"
"cause0011","444090","0.042146872643274"
"cause0011","1797880","0.041064741958145"
"cause0011","552500","0.041064741958145"
"cause0011","287390","0.040864912344256"
"cause0011","513710","0.040563322153464"
"cause0011","648800","0.033732061860795"
"cause0011","774241","0.03211594907014"
"toxicshimmer","730","0.56099259054619"
"toxicshimmer","1286830","0.51551077169239"
"toxicshimmer","230410","0.23134747148708"
"toxicshimmer","836620","0.19181440479495"
"toxicshimmer","570","0.18585048164173"
"toxicshimmer","578080","0.15516119312508"
"toxicshimmer","252490","0.13471266794033"
"toxicshimmer","582660","0.10832679205788"
"toxicshimmer","252950","0.090808729312749"
"toxicshimmer","72850","0.067333236409684"
"toxicshimmer","381210","0.058675723692635"
"toxicshimmer","489830","0.058250017535537"
"toxicshimmer","271590","0.057749394227116"
"toxicshimmer","4500","0.052892159232271"
"toxicshimmer","431960","0.043347944595414"
"toxicshimmer","251570","0.042769946138415"
"toxicshimmer","331470","0.042624221877846"
"toxicshimmer","8930","0.03864298434289"
"toxicshimmer","626690","0.030820320439326"
"toxicshimmer","203160","0.030549961527439"
"AngeloBlueCZguy","440","1"
"AngeloBlueCZguy","438040","0.54393595106631"
"AngeloBlueCZguy","427520","0.18666705516102"
"AngeloBlueCZguy","242050","0.1363669027138"
"AngeloBlueCZguy","377160","0.11115686409271"
"AngeloBlueCZguy","363970","0.099666209431187"
"AngeloBlueCZguy","892970","0.090159029451204"
"AngeloBlueCZguy","227780","0.084033056533634"
"AngeloBlueCZguy","47890","0.08380997927115"
"AngeloBlueCZguy","271590","0.083114634897064"
"AngeloBlueCZguy","105600","0.082594951508414"
"AngeloBlueCZguy","1248130","0.073935964748766"
"AngeloBlueCZguy","379430","0.073504255270756"
